abstract-deque;0.3;"";"Data ";C:/Users/nicol/Desktop/lts/lts-14-27\abstract-deque\abstract-deque-0.3\abstract-deque.cabal;array -any,base ==4.*,containers -any,random -any,time -any;Data.Concurrent.Deque.Class,Data.Concurrent.Deque.Debugger,Data.Concurrent.Deque.Reference,Data.Concurrent.Deque.Reference.DequeInstance;;
abstract-deque-tests;0.3;"";"Data ";C:/Users/nicol/Desktop/lts/lts-14-27\abstract-deque-tests\abstract-deque-tests-0.3\abstract-deque-tests.cabal;HUnit -any,abstract-deque >=0.3,array -any,base ==4.*,containers -any,random >=1.0,test-framework >=0.6,test-framework-hunit >=0.2.7,time -any;Data.Concurrent.Deque.Tests;;
abstract-par;0.3.3;"Experimental";"Control,Parallelism,Monads";C:/Users/nicol/Desktop/lts/lts-14-27\abstract-par\abstract-par-0.3.3\abstract-par.cabal;base ==4.*,deepseq >=1.1;Control.Monad.Par.Class,Control.Monad.Par.Unsafe;;
accuerr;0.2.0.2;"Experimental";"Development";C:/Users/nicol/Desktop/lts/lts-14-27\accuerr\accuerr-0.2.0.2\accuerr.cabal;base >=4.8.0.0 && <5,bifunctors >=5.2,lens >=4.13,semigroups >=0.18.1;Accuerr;lib;
ace;0.6;"";"Linguistics";C:/Users/nicol/Desktop/lts/lts-14-27\ace\ace-0.6\ace.cabal;attoparsec >=0.10.4.0,base ==4.*,blaze-html >=0.5.1.0,blaze-markup >=0.5.2.0,data-default >=0.5.3,parsec >=3.1.5,text >=0.11.2.0;ACE,ACE.Combinators,ACE.Html,ACE.Parsers,ACE.Pretty,ACE.Tokenizer,ACE.Types.Pretty,ACE.Types.Syntax,ACE.Types.Tokens;src/;
action-permutations;0.0.0.1;"";"Control";C:/Users/nicol/Desktop/lts/lts-14-27\action-permutations\action-permutations-0.0.0.1\action-permutations.cabal;base >=2 && <5;Control.Applicative.Permutation;;
active;0.2.0.14;"";"Data";C:/Users/nicol/Desktop/lts/lts-14-27\active\active-0.2.0.14\active.cabal;base >=4.0 && <4.14,lens >=4.0 && <4.19,linear >=1.14 && <1.21,semigroupoids >=1.2 && <5.4,semigroups >=0.1 && <0.20,vector >=0.10;Data.Active;src;
ad;4.3.6;"Experimental";"Math";C:/Users/nicol/Desktop/lts/lts-14-27\ad\ad-4.3.6\ad.cabal;array >=0.2 && <0.6,base >=4.3 && <5,comonad >=4 && <6,containers >=0.2 && <0.7,data-reify ==0.6.*,erf ==2.0.*,free >=4.6.1 && <6,nats >=0.1.2 && <2,reflection >=1.4 && <3,semigroups >=0.16 && <1,transformers >=0.3 && <0.6;Numeric.AD,Numeric.AD.Halley,Numeric.AD.Internal.Combinators,Numeric.AD.Internal.Dense,Numeric.AD.Internal.Doctest,Numeric.AD.Internal.Forward,Numeric.AD.Internal.Forward.Double,Numeric.AD.Internal.Identity,Numeric.AD.Internal.Kahn,Numeric.AD.Internal.On,Numeric.AD.Internal.Or,Numeric.AD.Internal.Reverse,Numeric.AD.Internal.Sparse,Numeric.AD.Internal.Tower,Numeric.AD.Internal.Type,Numeric.AD.Jacobian,Numeric.AD.Jet,Numeric.AD.Mode,Numeric.AD.Mode.Forward,Numeric.AD.Mode.Forward.Double,Numeric.AD.Mode.Kahn,Numeric.AD.Mode.Reverse,Numeric.AD.Mode.Sparse,Numeric.AD.Mode.Tower,Numeric.AD.Newton,Numeric.AD.Newton.Double,Numeric.AD.Rank1.Forward,Numeric.AD.Rank1.Forward.Double,Numeric.AD.Rank1.Halley,Numeric.AD.Rank1.Kahn,Numeric.AD.Rank1.Newton,Numeric.AD.Rank1.Newton.Double,Numeric.AD.Rank1.Sparse,Numeric.AD.Rank1.Tower;src;
adjunctions;4.4;"provisional";"Data Structures, Adjunctions";C:/Users/nicol/Desktop/lts/lts-14-27\adjunctions\adjunctions-4.4\adjunctions.cabal;array >=0.3.0.2 && <0.7,base ==4.*,comonad >=4 && <6,containers >=0.3 && <0.6,contravariant ==1.*,distributive >=0.5.1 && <1,free >=4 && <6,mtl >=2.0.1 && <2.3,profunctors >=4 && <6,semigroupoids >=4 && <6,semigroups >=0.11 && <1,tagged >=0.7 && <1,transformers >=0.2 && <0.6,transformers-compat >=0.3 && <1,void >=0.5.5.1 && <1;Control.Comonad.Representable.Store,Control.Comonad.Trans.Adjoint,Control.Monad.Representable.Reader,Control.Monad.Representable.State,Control.Monad.Trans.Adjoint,Control.Monad.Trans.Contravariant.Adjoint,Control.Monad.Trans.Conts,Data.Functor.Adjunction,Data.Functor.Contravariant.Adjunction,Data.Functor.Contravariant.Rep,Data.Functor.Rep;src;
adler32;0.1.2.0;"";"Cryptography, Hash";C:/Users/nicol/Desktop/lts/lts-14-27\adler32\adler32-0.1.2.0\adler32.cabal;base >=4.9 && <5,bytestring >=0.10.2;Data.Digest.Adler32;src;
advent-of-code-api;0.1.2.3;"";"Web";C:/Users/nicol/Desktop/lts/lts-14-27\advent-of-code-api\advent-of-code-api-0.1.2.3\advent-of-code-api.cabal;attoparsec -any,base >=4.9 && <5,containers -any,curl -any,deepseq -any,directory -any,filepath -any,finite-typelits -any,mtl -any,tagsoup -any,text -any,time -any,uri-encode -any;Advent,Advent.Cache,Advent.Throttle,Paths_advent_of_code_api;src;
